Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff
2022-02-19,Liverpool,Norwich City,,,,85,73,12
2022-02-19,Leeds,Man United,,,,76,83,-7
2022-02-19,Crystal Palace,Chelsea,,,,76,84,-8
2022-02-19,Brighton,Burnley,,,,76,76,0
2022-02-19,Aston Villa,Watford,,,,78,74,4
2022-02-19,Arsenal,Brentford,,,,80,74,6
2022-02-26,West Ham,Wolves,,,,79,78,1
2022-02-26,Southampton,Norwich City,,,,76,73,3
2022-02-26,Man United,Watford,,,,83,74,9
2022-02-26,Leeds,Tottenham,,,,76,81,-5
2022-02-26,Everton,Man City,,,,78,85,-7
2022-02-26,Crystal Palace,Burnley,,,,76,76,0
2022-02-26,Chelsea,Leicester,,,,84,80,4
2022-02-26,Brighton,Aston Villa,,,,76,78,-2
2022-02-26,Brentford,Newcastle,,,,74,77,-3
2022-02-26,Arsenal,Liverpool,,,,80,85,-5
2022-03-05,Wolves,Crystal Palace,,,,78,76,2
2022-03-05,Watford,Arsenal,,,,74,80,-6
2022-03-05,Tottenham,Everton,,,,81,78,3
2022-03-05,Norwich City,Brentford,,,,73,74,-1
2022-03-05,Newcastle,Brighton,,,,77,76,1
2022-03-05,Man City,Man United,,,,85,83,2
2022-03-05,Liverpool,West Ham,,,,85,79,6
2022-03-05,Leicester,Leeds,,,,80,76,4
2022-03-05,Burnley,Chelsea,,,,76,84,-8
2022-03-05,Aston Villa,Southampton,,,,78,76,2
2022-03-12,West Ham,Aston Villa,,,,79,78,1
2022-03-12,Southampton,Watford,,,,76,74,2
2022-03-12,Man United,Tottenham,,,,83,81,2
2022-03-12,Leeds,Norwich City,,,,76,73,3
2022-03-12,Everton,Wolves,,,,78,78,0
2022-03-12,Crystal Palace,Man City,,,,76,85,-9
2022-03-12,Chelsea,Newcastle,,,,84,77,7
2022-03-12,Brighton,Liverpool,,,,76,85,-9
2022-03-12,Brentford,Burnley,,,,74,76,-2
2022-03-12,Arsenal,Leicester,,,,80,80,0
2022-03-19,Wolves,Leeds,,,,78,76,2
2022-03-19,Watford,Everton,,,,74,78,-4
2022-03-19,Tottenham,West Ham,,,,81,79,2
2022-03-19,Norwich City,Chelsea,,,,73,84,-11
2022-03-19,Newcastle,Crystal Palace,,,,77,76,1
2022-03-19,Man City,Brighton,,,,85,76,9
2022-03-19,Liverpool,Man United,,,,85,83,2
2022-03-19,Leicester,Brentford,,,,80,74,6
2022-03-19,Burnley,Southampton,,,,76,76,0
2022-03-19,Aston Villa,Arsenal,,,,78,80,-2
2022-04-02,Brighton,Norwich City,,,,76,73,3
2022-04-02,Burnley,Man City,,,,76,85,-9
2022-04-02,Chelsea,Brentford,,,,84,74,10
2022-04-02,Crystal Palace,Arsenal,,,,76,80,-4
2022-04-02,Leeds,Southampton,,,,76,76,0
2022-04-02,Liverpool,Watford,,,,85,74,11
2022-04-02,Man United,Leicester,,,,83,80,3
2022-04-02,Tottenham,Newcastle,,,,81,77,4
2022-04-02,West Ham,Everton,,,,79,78,1
2022-04-02,Wolves,Aston Villa,,,,78,78,0
2022-04-09,Arsenal,Brighton,,,,80,76,4
2022-04-09,Aston Villa,Tottenham,,,,78,81,-3
2022-04-09,Brentford,West Ham,,,,74,79,-5
2022-04-09,Everton,Man United,,,,78,83,-5
2022-04-09,Leicester,Crystal Palace,,,,80,76,4
2022-04-09,Man City,Liverpool,,,,85,85,0
2022-04-09,Newcastle,Wolves,,,,77,78,-1
2022-04-09,Norwich City,Burnley,,,,73,76,-3
2022-04-09,Southampton,Chelsea,,,,76,84,-8
2022-04-09,Watford,Leeds,,,,74,76,-2
2022-04-16,Aston Villa,Liverpool,,,,78,85,-7
2022-04-16,Everton,Crystal Palace,,,,78,76,2
2022-04-16,Leeds,Chelsea,,,,76,84,-8
2022-04-16,Man United,Norwich City,,,,83,73,10
2022-04-16,Newcastle,Leicester,,,,77,80,-3
2022-04-16,Southampton,Arsenal,,,,76,80,-4
2022-04-16,Tottenham,Brighton,,,,81,76,5
2022-04-16,Watford,Brentford,,,,74,74,0
2022-04-16,West Ham,Burnley,,,,79,76,3
2022-04-16,Wolves,Man City,,,,78,85,-7
2022-04-23,Arsenal,Man United,,,,80,83,-3
2022-04-23,Brentford,Tottenham,,,,74,81,-7
2022-04-23,Brighton,Southampton,,,,76,76,0
2022-04-23,Burnley,Wolves,,,,76,78,-2
2022-04-23,Chelsea,West Ham,,,,84,79,5
2022-04-23,Crystal Palace,Leeds,,,,76,76,0
2022-04-23,Leicester,Aston Villa,,,,80,78,2
2022-04-23,Liverpool,Everton,,,,85,78,7
2022-04-23,Man City,Watford,,,,85,74,11
2022-04-23,Norwich City,Newcastle,,,,73,77,-4
2022-04-30,Aston Villa,Norwich City,,,,78,73,5
2022-04-30,Everton,Chelsea,,,,78,84,-6
2022-04-30,Leeds,Man City,,,,76,85,-9
2022-04-30,Man United,Brentford,,,,83,74,9
